series_id,FIPS,FIPS_code,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN131170000000003,CN1311700000000,13117,4.02,4.9,#N/A,#N/A,0,-24108,5.02,2014M11_3moAve,71
LAUCN131190000000003,CN1311900000000,13119,5.892,7.3,#N/A,#N/A,0,-24108,6.892,2015M04_3moAve,76
LAUCN131210000000003,CN1312100000000,13121,5.588,6.4,#N/A,#N/A,0,-24108,6.588,2014M12_3moAve,72
LAUCN131230000000003,CN1312300000000,13123,4.668,6.4,#N/A,#N/A,0,-24108,5.668,,-24108
LAUCN131250000000003,CN1312500000000,13125,5.936,7.2,#N/A,#N/A,0,-24108,6.936,2015M04_3moAve,76
LAUCN131270000000003,CN1312700000000,13127,4.292,6.5,#N/A,#N/A,0,-24108,5.292,,-24108
LAUCN131290000000003,CN1312900000000,13129,6.012,6.4,2015M04,2015M05_3moAve,2015M05_3moAve,77,7.012,2014M11_3moAve,71
LAUCN131310000000003,CN1313100000000,13131,4.968,7,#N/A,#N/A,0,-24108,5.968,,-24108
LAUCN131330000000003,CN1313300000000,13133,6.032,7.4,#N/A,#N/A,0,-24108,7.032,,-24108
LAUCN131350000000003,CN1313500000000,13135,4.752,5.6,#N/A,#N/A,0,-24108,5.752,2014M12_3moAve,72
LAUCN131370000000003,CN1313700000000,13137,4.804,6.3,#N/A,#N/A,0,-24108,5.804,2015M05_3moAve,77
LAUCN131390000000003,CN1313900000000,13139,4.456,5.5,#N/A,#N/A,0,-24108,5.456,2014M12_3moAve,72
LAUCN131410000000003,CN1314100000000,13141,10.576,11.2,2015M02,2015M04_3moAve,2015M04_3moAve,76,11.576,2014M11_3moAve,71
LAUCN131430000000003,CN1314300000000,13143,5.58,6.8,#N/A,#N/A,0,-24108,6.58,2015M04_3moAve,76
LAUCN131450000000003,CN1314500000000,13145,4.1,5.9,#N/A,#N/A,0,-24108,5.1,,-24108
LAUCN131470000000003,CN1314700000000,13147,7.6,7.1,2014M03,2014M04_3moAve,2014M04_3moAve,64,8.6,2013M11_3moAve,59
LAUCN131490000000003,CN1314900000000,13149,6.212,6.9,2015M04,#N/A,0,-24108,7.212,2014M12_3moAve,72
LAUCN131510000000003,CN1315100000000,13151,5.196,6.6,#N/A,#N/A,0,-24108,6.196,2015M05_3moAve,77
LAUCN131530000000003,CN1315300000000,13153,4.52,6.6,#N/A,#N/A,0,-24108,5.52,,-24108
LAUCN131550000000003,CN1315500000000,13155,7.892,9,#N/A,#N/A,0,-24108,8.892,2015M04_3moAve,76
LAUCN131570000000003,CN1315700000000,13157,5.136,5.3,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.136,2014M01_3moAve,61
LAUCN131590000000003,CN1315900000000,13159,6.472,5.9,2014M04,2014M11_3moAve,2014M11_3moAve,71,7.472,2013M12_3moAve,60
LAUCN131610000000003,CN1316100000000,13161,8.212,7.3,2014M04,2014M05_3moAve,2014M05_3moAve,65,9.212,2014M01_3moAve,61
LAUCN131630000000003,CN1316300000000,13163,8.4,10.3,#N/A,#N/A,0,-24108,9.4,2015M04_3moAve,76
LAUCN131650000000003,CN1316500000000,13165,12.112,9.4,2013M03,2013M05_3moAve,2013M05_3moAve,53,13.112,2012M11_3moAve,47
LAUCN131670000000003,CN1316700000000,13167,6.88,7.6,#N/A,#N/A,0,-24108,7.88,2015M02_3moAve,74
LAUCN131690000000003,CN1316900000000,13169,4.964,6,#N/A,#N/A,0,-24108,5.964,2014M12_3moAve,72
LAUCN131710000000003,CN1317100000000,13171,6.14,8.3,#N/A,#N/A,0,-24108,7.14,,-24108
LAUCN131730000000003,CN1317300000000,13173,4.712,7.4,#N/A,#N/A,0,-24108,5.712,,-24108
LAUCN131750000000003,CN1317500000000,13175,6.028,8.4,#N/A,#N/A,0,-24108,7.028,,-24108
LAUCN131770000000003,CN1317700000000,13177,4.052,6.1,#N/A,#N/A,0,-24108,5.052,,-24108
LAUCN131790000000003,CN1317900000000,13179,5.56,7,#N/A,#N/A,0,-24108,6.56,2015M05_3moAve,77
LAUCN131810000000003,CN1318100000000,13181,6.396,7.5,#N/A,#N/A,0,-24108,7.396,2014M12_3moAve,72
LAUCN131830000000003,CN1318300000000,13183,4.036,6.6,#N/A,#N/A,0,-24108,5.036,,-24108
LAUCN131850000000003,CN1318500000000,13185,4.616,6.9,#N/A,#N/A,0,-24108,5.616,,-24108
LAUCN131870000000003,CN1318700000000,13187,5.492,6.2,2015M03,2015M04_3moAve,2015M04_3moAve,76,6.492,2014M04_3moAve,64
LAUCN131890000000003,CN1318900000000,13189,7.036,9.1,#N/A,#N/A,0,-24108,8.036,,-24108
LAUCN131910000000003,CN1319100000000,13191,4.968,7.3,#N/A,#N/A,0,-24108,5.968,,-24108
LAUCN131930000000003,CN1319300000000,13193,7.812,9.5,#N/A,#N/A,0,-24108,8.812,,-24108
LAUCN131950000000003,CN1319500000000,13195,4.42,6,#N/A,#N/A,0,-24108,5.42,,-24108
LAUCN131970000000003,CN1319700000000,13197,5.408,9.7,#N/A,#N/A,0,-24108,6.408,,-24108
LAUCN131990000000003,CN1319900000000,13199,7.108,9,#N/A,#N/A,0,-24108,8.108,2015M04_3moAve,76
LAUCN132010000000003,CN1320100000000,13201,4.66,6,#N/A,#N/A,0,-24108,5.66,2015M05_3moAve,77
LAUCN132050000000003,CN1320500000000,13205,5.944,7.7,#N/A,#N/A,0,-24108,6.944,2015M03_3moAve,75
LAUCN132070000000003,CN1320700000000,13207,4.84,6.4,#N/A,#N/A,0,-24108,5.84,2015M04_3moAve,76
LAUCN132090000000003,CN1320900000000,13209,5.904,9.4,#N/A,#N/A,0,-24108,6.904,,-24108
LAUCN132110000000003,CN1321100000000,13211,5.132,5.9,#N/A,#N/A,0,-24108,6.132,2014M12_3moAve,72
LAUCN132130000000003,CN1321300000000,13213,5.928,8.1,#N/A,#N/A,0,-24108,6.928,,-24108
LAUCN132150000000003,CN1321500000000,13215,5.672,7.9,#N/A,#N/A,0,-24108,6.672,,-24108
LAUCN132170000000003,CN1321700000000,13217,6.328,7.1,#N/A,#N/A,0,-24108,7.328,2015M01_3moAve,73
LAUCN132190000000003,CN1321900000000,13219,3.484,4.9,#N/A,#N/A,0,-24108,4.484,2015M01_3moAve,73
LAUCN132210000000003,CN1322100000000,13221,4.484,6,#N/A,#N/A,0,-24108,5.484,2015M04_3moAve,76
LAUCN132230000000003,CN1322300000000,13223,4.964,5.6,#N/A,#N/A,0,-24108,5.964,2014M11_3moAve,71
LAUCN132250000000003,CN1322500000000,13225,6.216,8.6,#N/A,#N/A,0,-24108,7.216,,-24108
LAUCN132270000000003,CN1322700000000,13227,4.808,5.7,#N/A,#N/A,0,-24108,5.808,2015M01_3moAve,73
LAUCN132290000000003,CN1322900000000,13229,4.624,7,#N/A,#N/A,0,-24108,5.624,,-24108
LAUCN132310000000003,CN1323100000000,13231,5.36,6.2,2015M04,#N/A,0,-24108,6.36,2014M12_3moAve,72
LAUCN132330000000003,CN1323300000000,13233,5.344,7.2,#N/A,#N/A,0,-24108,6.344,,-24108
LAUCN132350000000003,CN1323500000000,13235,4.616,7.6,#N/A,#N/A,0,-24108,5.616,,-24108
LAUCN132370000000003,CN1323700000000,13237,5.648,8.8,#N/A,#N/A,0,-24108,6.648,,-24108
LAUCN132390000000003,CN1323900000000,13239,6.924,7.6,2014M12,2015M02_3moAve,2015M02_3moAve,74,7.924,2013M10_3moAve,58
LAUCN132410000000003,CN1324100000000,13241,6.088,6.9,#N/A,#N/A,0,-24108,7.088,2015M05_3moAve,77
LAUCN132430000000003,CN1324300000000,13243,7.388,9.5,#N/A,#N/A,0,-24108,8.388,2015M03_3moAve,75
LAUCN132450000000003,CN1324500000000,13245,6.604,8.3,#N/A,#N/A,0,-24108,7.604,2015M04_3moAve,76
LAUCN132470000000003,CN1324700000000,13247,5.912,6.8,#N/A,#N/A,0,-24108,6.912,2015M04_3moAve,76
LAUCN132490000000003,CN1324900000000,13249,6.26,7.3,#N/A,#N/A,0,-24108,7.26,2014M12_3moAve,72
LAUCN132510000000003,CN1325100000000,13251,6.276,9.5,#N/A,#N/A,0,-24108,7.276,,-24108
LAUCN132530000000003,CN1325300000000,13253,6.352,8.7,#N/A,#N/A,0,-24108,7.352,,-24108
LAUCN132550000000003,CN1325500000000,13255,6.992,8.6,#N/A,#N/A,0,-24108,7.992,2015M06_3moAve,78
LAUCN132570000000003,CN1325700000000,13257,5.492,7,#N/A,#N/A,0,-24108,6.492,,-24108
LAUCN132590000000003,CN1325900000000,13259,7.012,7.5,2014M12,2015M04_3moAve,2015M04_3moAve,76,8.012,2014M09_3moAve,69
LAUCN132610000000003,CN1326100000000,13261,7.368,8.7,#N/A,#N/A,0,-24108,8.368,2015M05_3moAve,77
LAUCN132630000000003,CN1326300000000,13263,6.492,8.6,#N/A,#N/A,0,-24108,7.492,2014M11_3moAve,71
LAUCN132650000000003,CN1326500000000,13265,8.016,8.8,#N/A,#N/A,0,-24108,9.016,2015M04_3moAve,76
LAUCN132670000000003,CN1326700000000,13267,5.644,6.8,#N/A,#N/A,0,-24108,6.644,2015M01_3moAve,73
LAUCN132690000000003,CN1326900000000,13269,6.628,9.7,#N/A,#N/A,0,-24108,7.628,,-24108
LAUCN132710000000003,CN1327100000000,13271,9.268,9.2,2013M03,2013M04_3moAve,2013M04_3moAve,52,10.268,2013M03_3moAve,51
LAUCN132730000000003,CN1327300000000,13273,6.256,8.4,#N/A,#N/A,0,-24108,7.256,,-24108
LAUCN132750000000003,CN1327500000000,13275,4.908,8.3,#N/A,#N/A,0,-24108,5.908,,-24108
LAUCN132770000000003,CN1327700000000,13277,6.152,6.7,2015M04,#N/A,0,-24108,7.152,2014M11_3moAve,71
LAUCN132790000000003,CN1327900000000,13279,5.896,9.2,#N/A,#N/A,0,-24108,6.896,,-24108
LAUCN132810000000003,CN1328100000000,13281,4.772,8.1,#N/A,#N/A,0,-24108,5.772,,-24108
LAUCN132830000000003,CN1328300000000,13283,7.092,9.3,#N/A,#N/A,0,-24108,8.092,,-24108
LAUCN132850000000003,CN1328500000000,13285,6.868,6.9,2014M10,2014M11_3moAve,2014M11_3moAve,71,7.868,2014M01_3moAve,61
LAUCN132870000000003,CN1328700000000,13287,7.34,7.1,2014M04,2014M11_3moAve,2014M11_3moAve,71,8.34,2014M04_3moAve,64
LAUCN132890000000003,CN1328900000000,13289,6.244,10,#N/A,#N/A,0,-24108,7.244,,-24108
LAUCN132910000000003,CN1329100000000,13291,4.684,5.7,#N/A,#N/A,0,-24108,5.684,2014M12_3moAve,72
LAUCN132930000000003,CN1329300000000,13293,7.304,8,2015M04,2015M05_3moAve,2015M05_3moAve,77,8.304,2015M01_3moAve,73
LAUCN132950000000003,CN1329500000000,13295,5.456,6.5,#N/A,#N/A,0,-24108,6.456,2015M01_3moAve,73
LAUCN132970000000003,CN1329700000000,13297,5.452,5.8,2015M04,#N/A,0,-24108,6.452,2014M10_3moAve,70
LAUCN132990000000003,CN1329900000000,13299,5.704,7.2,#N/A,#N/A,0,-24108,6.704,2015M05_3moAve,77
LAUCN133010000000003,CN1330100000000,13301,8.784,8.5,2014M12,2015M02_3moAve,2015M02_3moAve,74,9.784,2014M04_3moAve,64
LAUCN133030000000003,CN1330300000000,13303,6.72,7.7,2015M04,#N/A,0,-24108,7.72,2014M12_3moAve,72
LAUCN133050000000003,CN1330500000000,13305,6.496,8.2,#N/A,#N/A,0,-24108,7.496,2015M04_3moAve,76
LAUCN133070000000003,CN1330700000000,13307,4.816,10.9,#N/A,#N/A,0,-24108,5.816,,-24108
LAUCN133090000000003,CN1330900000000,13309,6.06,11.8,#N/A,#N/A,0,-24108,7.06,,-24108
